['Preprocessed/Chicago_Bears_seasons.htm.txt', 0.2088025548469629]
['Preprocessed/Arizona_Cardinals_seasons.htm.txt', 0.04792058022547506]
['Preprocessed/Houston_Texans_seasons.htm.txt', 0.015767265929709718]
['Preprocessed/Jacksonville_Jaguars_seasons.htm.txt', 0.012981910797330139]
['Preprocessed/Green_Bay_Packers_seasons.htm.txt', 0.012016852121272464]
['Preprocessed/Detroit_Lions_seasons.htm.txt', 0.010750370868016628]
['Preprocessed/Baltimore_Ravens_seasons.htm.txt', 0.00913174212014817]
['Preprocessed/Indianapolis_Colts_seasons.htm.txt', 0.008138889836930199]
['Preprocessed/Carolina_Panthers_seasons.htm.txt', 0.008050810449235215]
['Preprocessed/Dallas_Cowboys_seasons.htm.txt', 0.007052840739007869]
['Preprocessed/Atlanta_Falcons_seasons.htm.txt', 0.006679635836749574]
['Preprocessed/Grand_Canyon_National_Park.htm.txt', 0.006307626102837621]
['Preprocessed/Buffalo_Bills_seasons.htm.txt', 0.005793188046299415]
['Preprocessed/Death_Valley_National_Park.htm.txt', 0.005486711732333873]
['Preprocessed/Black_Canyon_of_the_Gunnison_National_Park.htm.txt', 0.005322588174825064]
['Preprocessed/Channel_Islands_National_Park.htm.txt', 0.005241337347009612]
['Preprocessed/Denver_Broncos_seasons.htm.txt', 0.00491260634366597]
['Preprocessed/Kansas_City_Chiefs_seasons.htm.txt', 0.004861025216316721]
['Preprocessed/Joshua_Tree_National_Park.htm.txt', 0.004361591362365486]
['Preprocessed/Cleveland_Browns_seasons.htm.txt', 0.004156122253425113]
['Preprocessed/Cincinnati_Bengals_seasons.htm.txt', 0.0031245870546468316]
['Preprocessed/Glacier_National_Park_(US).htm.txt', 0.0030727909083062867]
['Preprocessed/Great_Smoky_Mountains_National_Park.htm.txt', 0.0]
['Preprocessed/Dry_Tortugas_National_Park.htm.txt', 0.0]
['Preprocessed/Denali_National_Park_and_Preserve.htm.txt', 0.0]
['Preprocessed/Acadia_National_Park.htm.txt', 0.0]
['Preprocessed/Gates_of_the_Arctic_National_Park_and_Preserve.htm.txt', 0.0]
['Preprocessed/Badlands_National_Park.htm.txt', 0.0]
['Preprocessed/Hawaii_Volcanoes_National_Park.htm.txt', 0.0]
['Preprocessed/Carlsbad_Caverns_National_Park.htm.txt', 0.0]
['Preprocessed/Arches_National_Park.htm.txt', 0.0]
['Preprocessed/Great_Basin_National_Park.htm.txt', 0.0]
['Preprocessed/Katmai_National_Park_and_Preserve.htm.txt', 0.0]
['Preprocessed/Haleakalā_National_Park.htm.txt', 0.0]
['Preprocessed/Congaree_National_Park.htm.txt', 0.0]
['Preprocessed/Canyonlands_National_Park.htm.txt', 0.0]
['Preprocessed/Hot_Springs_National_Park.htm.txt', 0.0]
['Preprocessed/Cuyahoga_Valley_National_Park.htm.txt', 0.0]
['Preprocessed/Grand_Teton_National_Park.htm.txt', 0.0]
['Preprocessed/Everglades_National_Park.htm.txt', 0.0]
['Preprocessed/Capitol_Reef_National_Park.htm.txt', 0.0]
['Preprocessed/Kenai_Fjords_National_Park.htm.txt', 0.0]
['Preprocessed/Isle_Royale_National_Park.htm.txt', 0.0]
['Preprocessed/Big_Bend_National_Park.htm.txt', 0.0]
['Preprocessed/Bryce_Canyon_National_Park.htm.txt', 0.0]
['Preprocessed/Glacier_Bay_National_Park_and_Preserve.htm.txt', 0.0]
['Preprocessed/Guadalupe_Mountains_National_Park.htm.txt', 0.0]
['Preprocessed/Biscayne_National_Park.htm.txt', 0.0]
['Preprocessed/Crater_Lake_National_Park.htm.txt', 0.0]
['Preprocessed/Great_Sand_Dunes_National_Park_and_Preserve.htm.txt', 0.0]
